id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
0,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-01-00-preface.txt,0.2514766434638856,1.6755773371604347E-4,0.009659104872777591,0.0011676831596382931,1.970976362743947E-4,5.363698656678008E-4,0.029298403132346183,2.2374824998138104E-4,0.031224311989117744,0.06601493417493909,0.3051445115733721,3.3667381765897883E-4,0.01267382500067642,0.24521995237792005,0.021015899943901958,0.0011591008907879045,3.4127301395473197E-4,1.781314117279382E-4,0.02376844629147929,1.9633140017649714E-4
1,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-02-01-the_task_of_dogmatics.txt,0.11807324530788221,4.1080369114452974E-4,0.01985506020904968,4.626146435968716E-5,3.96354363731261E-5,0.002181958805460394,4.659212560903166E-5,0.005135960779704679,0.26799243144996204,0.01780060553100081,0.12000355701905158,0.04569784351043983,0.002171539851542056,0.19864761826222574,0.16939976610910226,2.3308990648116722E-4,0.01609574371596093,0.002298472982334725,0.007042377790694234,0.006827436051621316
2,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-03-02-the_task_of_prolegomena_to_dogmatics.txt,0.23697937352913512,3.058774223976108E-4,0.02602860698681175,6.366873370584998E-5,0.005504123610307697,6.674547485632127E-4,0.007589726209951341,0.007587527778237476,0.1669389086542546,0.005035854699307489,0.2046030465014951,0.005542753225061853,0.0011721224110548246,0.2778063278614076,0.04214693169305204,0.0013588111276644646,0.01021508967019613,4.930030140102485E-5,3.5015743918590317E-4,5.433739680887762E-5
3,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-04-03-church_proclamation_as_the_material_of_dogmatics.txt,0.16218204838405462,0.006310095020148069,0.04566310242367504,2.805739570944646E-5,0.00185375774006284,0.0028099961022166344,2.825794045326402E-5,0.0025431527712369327,0.06281666716018465,0.05493796803699434,0.1518026736109992,0.028516063951263722,9.739580435520866E-4,0.3478215834125219,0.07609500714557868,0.0011705850489896598,0.010905579470357094,2.1725546975601906E-5,0.03697740155961206,0.006542319235414167
4,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-05-04-the_word_of_god_in_its_threefold_form.txt,0.09237215242989588,0.0035012077190661175,0.0669761286533899,2.8464283525917297E-5,3.724348865717206E-4,0.009695681593244266,0.0015368737493825547,0.001535890899874272,0.060595205394296935,0.006543958212483027,0.14019822727350112,0.042039394092605355,0.026163521193815948,0.3243257869727796,0.17569598970686567,0.017893842839127417,0.01361608061253206,2.2040610442720524E-5,0.016282747103908077,6.043717726914674E-4
5,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-06-05-the_nature_of_the_word_of_god.txt,0.1441203741802837,0.005552619524501367,0.16117843085211023,0.00843521321203558,0.007857125207723642,0.013279030474423404,0.008795064235899841,0.008578619827041055,0.19276224120573063,0.0018278143063051304,0.150396668687773,0.013695377587714282,0.0206853870498872,0.11342340918590404,0.11535755345896512,0.0030386818466953407,0.019523273158868554,0.0051217610170535555,5.28747762740306E-4,0.0058426072183440595
6,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-07-06-the_knowability_of_the_word_of_god.txt,0.11531303568949859,6.762216200935252E-4,0.16659664301654506,7.548045155594349E-4,1.5486560531791454E-5,0.012271845602217567,0.0016390085125722157,0.011289534272084008,0.37273338425725655,0.0042292463886372195,0.12402393015376238,0.024559529167631385,0.0051215033604193735,0.05190477189395833,0.10214111868164717,1.7401181138174096E-5,0.004226170155249768,1.399632660483895E-5,0.0021622506897749517,3.101179548177042E-4
7,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-08-07-the_word_of_god_dogma_and_dogmatics.txt,0.2162296026603457,0.014059474590533756,0.032492970034852194,2.7556343331465917E-5,1.3592467796055163E-4,6.424936055097017E-5,2.523837642408684E-4,0.0012622693240301383,0.08404561001684806,0.007346059200844565,0.17200406970778898,0.0011634809467547095,0.00881863099572706,0.42831749996183693,0.02206025098415637,0.0018235719716616424,0.008239891275838506,2.1337569520823794E-5,0.0016116489479893392,2.3517665187456903E-5
8,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-09-08-god_in_his_revelation.txt,0.17442749847190905,0.0018478104930477212,0.06886539441073818,0.014068418426220756,0.014327097974821632,3.116556457914201E-4,6.322989348769912E-4,0.004121500701108745,0.05350961555999902,0.0011696298848020423,0.1456562015319441,0.034145500416082206,0.016360562727121483,0.08528805277238535,0.35531208019515353,0.015114602104740587,0.013555277021016464,1.6575414031679475E-5,0.0012519583620136975,1.826895219533247E-5
9,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-10-09-the_triunity_of_god.txt,0.1363859066340285,2.229456464727099E-5,0.01650568927673612,3.060917795089274E-5,2.622502642098612E-5,1.9612533016466322E-4,4.051022387464901E-4,0.00739049849423337,0.02523870017522324,0.0035438443216381423,0.1094677802128048,0.10970715957318533,6.882639352680284E-4,0.05321307534801546,0.5138054378324032,0.015873744972386177,0.0031643607343937725,2.3701456127404702E-5,0.0011664053150433234,0.0031450753805829196
