id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
19,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/07-04-50-god_and_nothingness_%5Bnote%5D.txt,7.41E-05,6.21E-04,0.028791501,0.005153748,1.36E-05,0.151219404,0.082183482,0.153243983,1.53E-05,0.012983627,0.009956894,0.007941442,9.41E-06,6.88E-05,4.92E-06,0.352285079,0.001346049,1.96E-05,0.010985905,1.22E-04,6.46E-05,0.017813495,7.43E-05,6.19E-04,0.052433322,0.017653096,0.081808902,0.012466426,1.36E-05,1.30E-05
20,"file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/07-05-51-the_kingdom_of_heaven,_the_ambassadors_of_god_and_their_opponents.txt",0.009400848,0.005092159,0.01454197,5.07E-04,1.36E-04,0.128874166,0.031482384,0.13039819,0.001667643,0.00818872,0.019009425,0.042681801,0.001197877,0.01977615,2.32E-06,0.005220249,0.016719354,0.002084765,0.001332776,0.320471949,0.008721815,0.025406824,0.002629417,0.00369039,0.040228253,0.001592092,0.154646135,0.002419026,0.001874411,6.10E-06
22,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/08-02-52-ethics_as_a_task_of_the_doctrine_of_creation.txt,3.92E-05,0.004924566,0.113181157,0.003588249,0.004580321,0.135236937,0.039542326,0.157172241,3.16E-05,0.007127101,0.02682379,0.005021142,1.94E-05,0.006060035,1.02E-05,2.37E-05,4.87E-05,4.04E-05,3.84E-04,2.45E-05,0.004230438,0.015053925,0.002429521,2.75E-05,0.048999582,0.344875986,0.080421955,2.71E-05,2.81E-05,2.68E-05
23,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/08-03-53-freedom_before_god.txt,2.43E-05,3.01E-04,0.009041987,3.72E-05,0.001283894,0.147504159,0.08672014,0.098090502,0.278871787,0.006095248,0.007015002,0.058340139,1.20E-05,0.020915572,6.28E-06,1.00E-03,0.011921611,0.00150261,0.013958114,5.08E-04,1.21E-05,0.006141098,0.006920137,0.002831567,0.084194022,0.056668672,0.090041472,0.003746073,9.32E-04,0.005364202
24,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/08-04-54-freedom_in_fellowship.txt,4.36E-04,0.006542206,0.005475635,0.005776228,0.024372095,0.138085111,0.060208778,0.118834722,4.13E-04,0.00849998,0.004365367,0.042285527,3.04E-04,0.009006259,0.268058289,0.002661884,0.006974178,0.010101508,0.008451668,1.55E-04,3.69E-06,3.70E-04,0.010830004,0.001698214,0.116852495,0.042312217,0.099388604,0.003476901,0.001569741,0.002491011
25,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/08-05-55-freedom_for_life.txt,3.84E-04,0.010733371,0.007783309,0.00449206,0.008273968,0.120948749,0.099218085,0.111207133,0.005280261,0.018533539,0.007370705,0.032305331,0.003473623,0.003653634,0.001270886,0.007440355,0.020016882,4.63E-04,0.219841927,6.19E-04,3.41E-06,4.22E-04,0.004072032,0.006132242,0.177865548,0.032627476,0.090734885,0.004208675,4.90E-06,6.19E-04
26,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/08-06-56-freedom_in_limitation.txt,1.43E-05,0.002416911,0.013957096,4.78E-04,0.002747696,0.141987895,0.249170256,0.076609642,1.15E-05,0.037313608,0.002185664,0.031195576,4.86E-05,0.005319345,0.004524681,8.64E-06,0.012087514,1.47E-05,0.011338542,0.003078208,5.05E-04,0.019505583,5.59E-05,0.048745343,0.162985448,0.075627477,0.093723353,0.00137863,0.00216704,7.98E-04
28,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-02-57-the_work_of_god_the_reconciler.txt,0.018301357,9.63E-04,0.011270491,0.230406992,0.002499374,0.220927757,0.033453077,0.106316254,0.00114048,0.005420667,0.054469943,0.055619096,0.001370821,0.03852897,5.28E-06,1.23E-05,0.017596339,0.020609265,4.95E-04,1.27E-05,9.57E-04,0.051546186,2.06E-05,4.88E-04,0.007723608,0.006588562,0.085290692,0.016401904,0.005398326,0.006166726
29,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-03-58-the_doctrine_of_reconciliation_(survey).txt,0.028438133,0.002391332,0.01710879,0.291638979,0.001137044,0.155151004,0.052179629,0.137992428,1.83E-05,0.004985856,0.081995665,0.010952123,7.72E-05,1.64E-05,5.89E-06,1.37E-05,0.019081697,0.001210116,4.20E-04,1.42E-05,0.036865673,0.009907565,0.017625979,0.031925587,0.023111473,0.007671852,0.049160224,1.57E-05,1.48E-04,0.018739344
30,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-04-59-the_obedience_of_the_son_of_god.txt,0.322041301,0.001763669,0.005799202,0.048022158,0.003778138,0.144106669,0.055682214,0.124512449,0.001927826,0.022297347,0.024150055,0.067577302,0.002745407,0.007152223,2.09E-06,1.69E-04,0.002399969,0.008419979,0.001180217,0.003215062,0.018233213,0.002701017,0.003007294,0.0055822,0.019483919,0.005608526,0.08584242,0.005699279,0.004504505,0.002395453
