id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
18,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-06-17-the_revelation_of_god_as_the_abolition_of_religion.txt,0.232930002,0.006151271,0.06400697,0.02153574,0.014657079,0.083811703,0.014764006,0.01014402,0.221858758,0.010940213,0.154672744,0.011410217,0.012520887,0.040133839,0.02595414,0.001639737,0.022329389,0.005049472,0.035714791,0.009775021
19,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-07-18-the_life_of_the_children_of_god.txt,0.157579639,0.003801177,0.158006143,0.00754379,1.11E-05,0.10725285,4.87E-04,3.81E-04,0.016446845,0.01592572,0.153958367,0.024823381,0.014351666,0.023989771,0.055107725,0.002434956,0.002547012,0.237785349,0.017291999,2.74E-04
20,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-08-19-the_word_of_god_for_the_church.txt,0.178000505,3.73E-04,0.05318419,0.017147129,0.001724353,0.014204516,6.36E-04,5.84E-04,0.028469107,0.00204604,0.138344123,0.025720229,0.025624574,0.334148135,0.144781119,0.007229477,0.011389903,9.86E-06,0.009468014,0.006916551
21,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-09-20-authority_in_the_church.txt,0.201342488,7.72E-05,0.016517059,6.11E-04,7.45E-06,0.007883816,0.004471851,0.002487951,0.008440962,0.012978608,0.173403405,0.009363971,0.011282314,0.464322633,0.037703036,0.004790257,0.011454008,0.001494429,0.023390505,0.007977234
22,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-10-21-freedom_in_the_church.txt,0.270259729,0.003843421,0.111466238,0.005321537,0.001132777,0.017370159,8.99E-04,0.012102396,0.015172387,0.034284006,0.168436965,0.024905432,0.026212016,0.243271935,0.008279837,0.003316104,0.011461145,1.12E-05,0.042241285,1.23E-05
23,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-11-22-the_mission_of_the_church.txt,0.306343485,0.03012467,0.075942581,2.10E-05,1.04E-04,0.01180115,0.006797943,0.002336573,0.050808535,0.029286328,0.123734833,0.006807547,0.002360434,0.285783966,0.028343416,2.03E-05,0.006207497,1.63E-05,0.027651641,0.005507984
24,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-12-23-dogmatics_as_a_function_of_the_hearing_church.txt,0.277041754,0.005162369,0.020311779,2.43E-05,1.20E-04,0.001540641,0.005465945,0.002002335,0.008241505,0.02101464,0.152702297,0.007455748,0.001535174,0.448629692,0.013793079,2.34E-05,1.35E-04,4.15E-04,0.032089928,0.002296251
25,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-13-24-dogmatics_as_a_function_of_the_teaching_church.txt,0.242816536,0.016725074,0.117893408,2.85E-05,1.40E-04,0.033707051,4.93E-04,0.002579734,0.005139034,0.018607448,0.150042167,0.03925046,0.004236035,0.301783701,0.02568452,4.91E-04,0.006886363,1.38E-04,0.007000667,0.026356832
26,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-01-25-the_fulfilment_of_the_knowledge_of_god.txt,0.138859025,2.58E-04,0.277790697,0.008535359,9.90E-04,0.035730231,2.00E-05,1.94E-05,0.252487575,1.14E-04,0.109276915,0.052500582,0.021046716,0.01034264,0.048450032,6.68E-04,7.59E-04,0.023453201,0.002947918,0.01575031
27,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-02-26-the_knowability_of_god.txt,0.253067787,7.38E-06,0.167920731,0.008265205,0.026961506,0.080386795,0.004715594,0.005293099,0.210640741,0.004061735,0.144316936,0.001748387,0.01900801,0.053267131,0.001379164,0.00752187,0.001542212,4.91E-05,0.009796686,4.99E-05
