,id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,para_nums,titles
0,1,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-02-01-the_task_of_dogmatics.txt,0.118073245,0.000411,0.01985506,4.6299999999999994e-05,3.96e-05,0.002181959,4.66e-05,0.005135961,0.26799243100000003,0.017800606,0.120003557,0.045697844,0.00217154,0.198647618,0.169399766,0.000233,0.016095744,0.002298473,0.007042378,0.006827436,01,the_task_of_dogmatics.txt
1,2,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-03-02-the_task_of_prolegomena_to_dogmatics.txt,0.236979374,0.000306,0.026028607000000002,6.37e-05,0.005504124,0.000667,0.007589726,0.0075875280000000005,0.166938909,0.005035855,0.20460304699999998,0.005542753,0.001172122,0.277806328,0.042146932000000005,0.0013588110000000001,0.01021509,4.93e-05,0.00035,5.429999999999999e-05,02,the_task_of_prolegomena_to_dogmatics.txt
2,3,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-04-03-church_proclamation_as_the_material_of_dogmatics.txt,0.162182048,0.006310095,0.045663102000000004,2.8100000000000002e-05,0.0018537579999999998,0.002809996,2.8300000000000003e-05,0.002543153,0.062816667,0.054937968,0.151802674,0.028516064,0.000974,0.347821583,0.076095007,0.001170585,0.010905578999999999,2.17e-05,0.036977402,0.006542319,03,church_proclamation_as_the_material_of_dogmatics.txt
3,4,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-05-04-the_word_of_god_in_its_threefold_form.txt,0.092372152,0.003501208,0.06697612900000001,2.8499999999999998e-05,0.00037200000000000004,0.009695681999999999,0.001536874,0.0015358910000000002,0.060595205,0.006543958000000001,0.14019822699999998,0.042039394,0.026163521000000002,0.324325787,0.17569599,0.017893843,0.013616081,2.2e-05,0.016282747,0.000604,04,the_word_of_god_in_its_threefold_form.txt
4,5,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-06-05-the_nature_of_the_word_of_god.txt,0.144120374,0.00555262,0.16117843099999998,0.008435213,0.007857125,0.01327903,0.008795064,0.00857862,0.19276224100000003,0.0018278139999999999,0.150396669,0.013695378000000001,0.020685387,0.113423409,0.115357553,0.003038682,0.019523273,0.005121761,0.000529,0.005842607,05,the_nature_of_the_word_of_god.txt
5,6,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-07-06-the_knowability_of_the_word_of_god.txt,0.115313036,0.000676,0.16659664300000002,0.000755,1.55e-05,0.012271846000000001,0.0016390089999999999,0.011289533999999999,0.372733384,0.004229246,0.12402393,0.024559529,0.0051215029999999995,0.051904772,0.102141119,1.74e-05,0.00422617,1.4000000000000001e-05,0.002162251,0.00031,06,the_knowability_of_the_word_of_god.txt
6,7,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-08-07-the_word_of_god_dogma_and_dogmatics.txt,0.21622960300000002,0.014059475,0.03249297,2.7600000000000003e-05,0.000136,6.42e-05,0.000252,0.0012622689999999999,0.08404561,0.007346059,0.17200407,0.001163481,0.008818631,0.4283175,0.022060251,0.001823572,0.008239891,2.13e-05,0.001611649,2.35e-05,07,the_word_of_god_dogma_and_dogmatics.txt
7,8,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-09-08-god_in_his_revelation.txt,0.17442749800000001,0.00184781,0.06886539400000001,0.014068418000000001,0.014327098,0.000312,0.0006320000000000001,0.004121501,0.053509615999999996,0.00116963,0.14565620199999998,0.034145499999999995,0.016360563,0.085288053,0.35531208,0.015114602,0.013555277,1.66e-05,0.001251958,1.83e-05,08,god_in_his_revelation.txt
8,9,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-10-09-the_triunity_of_god.txt,0.136385907,2.23e-05,0.016505689,3.06e-05,2.62e-05,0.000196,0.000405,0.0073904980000000006,0.0252387,0.0035438440000000004,0.10946778,0.10970716,0.000688,0.053213075,0.513805438,0.015873745,0.0031643609999999996,2.37e-05,0.001166405,0.003145075,09,the_triunity_of_god.txt
9,10,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-11-10-god_the_father.txt,0.080838261,5.94e-05,0.137045003,0.000414,0.020678064,0.038082627,0.0007469999999999999,0.015036878,0.008742231,0.0008,0.07958762,0.047651152,0.044379674,0.002835305,0.46515143,0.027666897000000003,0.0300361,6.31e-05,0.00011599999999999999,6.96e-05,10,god_the_father.txt
