id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,,,,,,,,,,,,,,,,,,,,
20,paragraph-1-1-07-002.md,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,,,,,,,,,,,,,,,,,,,,
21,paragraph-1-1-07-003.md,0.203846154,0.003846154,0.05,0.003846154,0.003846154,0.003846154,0.126923077,0.034615385,0.111538462,0.003846154,0.019230769,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.034615385,0.003846154,0.373076923,,,,,,,,,,,,,,,,,,,,
22,paragraph-1-1-08-001.md,0.027777778,0.005555556,0.005555556,0.027777778,0.005555556,0.005555556,0.183333333,0.027777778,0.005555556,0.116666667,0.005555556,0.005555556,0.094444444,0.005555556,0.027777778,0.005555556,0.005555556,0.072222222,0.005555556,0.361111111,,,,,,,,,,,,,,,,,,,,
23,paragraph-1-1-08-002.md,0.082624113,0.062765957,0.078368794,0.030141844,3.55E-04,0.021631206,0.130851064,0.031560284,0.003191489,3.55E-04,0.065602837,0.044326241,3.55E-04,3.55E-04,0.018794326,3.55E-04,0.010283688,0.028723404,0.126595745,0.262765957,,,,,,,,,,,,,,,,,,,,
24,paragraph-1-1-08-003.md,0.01,0.01,0.01,0.01,0.05,0.01,0.09,0.01,0.49,0.05,0.13,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,
25,paragraph-1-1-09-001.md,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
26,paragraph-1-1-09-002.md,0.01,0.01,0.09,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.13,0.01,0.09,0.01,0.01,0.01,0.01,0.05,0.09,0.33,,,,,,,,,,,,,,,,,,,,
27,paragraph-1-1-09-003.md,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,,,,,,,,,,,,,,,,,,,,
28,paragraph-1-1-09-004.md,0.173076923,0.003846154,0.080769231,0.019230769,0.05,0.003846154,0.034615385,0.003846154,0.034615385,0.003846154,0.080769231,0.003846154,0.05,0.003846154,0.003846154,0.142307692,0.003846154,0.003846154,0.188461538,0.111538462,,,,,,,,,,,,,,,,,,,,
29,paragraph-1-1-10-001.md,0.057734807,0.005801105,0.047790055,0.128453039,0.001381215,2.76E-04,0.247790055,0.014640884,0.005801105,0.022375691,0.00359116,0.011325967,0.011325967,2.76E-04,0.001381215,2.76E-04,0.062154696,2.76E-04,0.114088398,0.263259669,,,,,,,,,,,,,,,,,,,,
30,paragraph-1-1-10-002.md,0.047752809,0.007303371,0.184831461,5.62E-04,0.00505618,0.011797753,0.106179775,5.62E-04,5.62E-04,5.62E-04,5.62E-04,5.62E-04,0.016292135,5.62E-04,0.009550562,5.62E-04,5.62E-04,5.62E-04,0.187078652,0.418539326,,,,,,,,,,,,,,,,,,,,
31,paragraph-1-1-11-001.md,0.05,0.021929825,0.035263158,0.057017544,0.02754386,1.75E-04,0.095614035,0.002982456,0.007192982,1.75E-04,0.03245614,0.007894737,0.034561404,1.75E-04,0.013508772,1.75E-04,0.008596491,0.004385965,0.213508772,0.386842105,,,,,,,,,,,,,,,,,,,,
32,paragraph-1-1-11-002.md,0.105852843,0.010200669,0.085117057,0.004849498,1.67E-04,1.67E-04,0.128595318,0.016889632,0.061036789,0.018896321,0.002173913,8.36E-04,1.67E-04,0.007525084,1.67E-04,1.67E-04,0.015551839,0.004849498,0.207525084,0.329264214,,,,,,,,,,,,,,,,,,,,
33,paragraph-1-1-12-001.md,0.078643216,0.024371859,0.001256281,0.166080402,0.002261307,0.006281407,0.091708543,0.053517588,0.004271357,0.092713568,2.51E-04,0.008291457,0.041457286,0.002261307,0.039447236,2.51E-04,0.016331658,0.002261307,0.088693467,0.279648241,,,,,,,,,,,,,,,,,,,,
34,paragraph-1-1-12-002.md,6.85E-04,0.058219178,0.093835616,0.014383562,6.85E-04,6.85E-04,0.019863014,0.107534247,0.033561644,0.189726027,0.003424658,0.003424658,0.003424658,6.85E-04,0.003424658,6.85E-04,0.014383562,0.00890411,6.85E-04,0.441780822,,,,,,,,,,,,,,,,,,,,
35,paragraph-1-2-13-001.md,0.07326454,0.057129456,9.38E-05,0.044371482,0.01097561,0.002345216,0.113789869,0.009474672,0.009849906,0.015478424,0.02673546,0.007223265,0.009474672,9.38E-05,0.026360225,4.69E-04,0.007223265,0.005722326,0.172701689,0.407223265,,,,,,,,,,,,,,,,,,,,
36,paragraph-1-2-13-002.md,0.097643979,0.087172775,2.62E-04,0.001308901,2.62E-04,0.004450262,0.109162304,0.013874346,0.015968586,0.001308901,2.62E-04,0.001308901,0.003403141,0.014921466,2.62E-04,0.001308901,0.05052356,0.002356021,0.210732984,0.383507853,,,,,,,,,,,,,,,,,,,,
37,paragraph-1-2-14-001.md,0.073121387,0.023410405,0.024566474,0.048843931,0.009537572,2.89E-04,0.099710983,0.030346821,0.040751445,0.004913295,0.010693642,0.001445087,0.017630058,2.89E-04,0.228034682,2.89E-04,0.009537572,0.010693642,0.185260116,0.180635838,,,,,,,,,,,,,,,,,,,,
